"x", "x+a+b-c", "floorf(x)"
0.375,0,0
0.3,0,0
0.272727,0,0
0.230769,0,0
0.214286,0,0
0.1875,0,0
0.176471,0,0
0.157895,0,0
0.15,0,0
0.136364,0,0
0.130435,0,0
0.12,0,0
0.115385,0,0
0.107143,0,0
0.103448,0,0
0.0967742,0,0
0.09375,0,0
0.0882353,0,0
0.0857143,0,0
0.0810811,0,0
0.0789474,0,0
0.075,0,0
0.0731707,0,0
0.0697674,0,0
0.0681818,0,0
0.0652174,0,0
0.0638298,0,0
0.0612245,0,0
0.06,0,0
0.0576923,0,0
0.0566038,0,0
0.0545455,0,0
0.0535714,0,0
0.0517241,0,0
0.0508475,0,0
0.0491803,0,0
0.0483871,0,0
0.046875,0,0
0.0461538,0,0
0.0447761,0,0
0.0441176,0,0
0.0428571,0,0
0.0422535,0,0
0.0410959,0,0
0.0405405,0,0
0.0394737,0,0
0.038961,0,0
0.0379747,0,0
0.0375,0,0
0.0365854,0,0
0.0361446,0,0
0.0352941,0,0
0.0348837,0,0
0.0340909,0,0
0.0337079,0,0
0.032967,0,0
0.0326087,0,0
0.0319149,0,0
0.0315789,0,0
0.0309278,0,0
0.0306122,0,0
0.03,0,0
0.029703,0,0
0.0291262,0,0
0.0288462,0,0
0.0283019,0,0
0.0280374,0,0
0.0275229,0,0
0.0272727,0,0
0.0267857,0,0
0.0265487,0,0
0.026087,0,0
0.0258621,0,0
0.0254237,0,0
0.0252101,0,0
0.0247934,0,0
0.0245902,0,0
0.0241935,0,0
0.024,0,0
0.023622,0,0
0.0234375,0,0
0.0230769,0,0
0.0229008,0,0
0.0225564,0,0
0.0223881,0,0
0.0220588,0,0
0.0218978,0,0
0.0215827,0,0
0.0214286,0,0
0.0211268,0,0
0.020979,0,0
0.0206897,0,0
0.0205479,0,0
0.0202703,0,0
0.0201342,0,0
0.0198676,0,0
0.0197368,0,0
0.0194805,0,0
0.0193548,0,0
0.0191083,0,0
0.0189873,0,0
0.01875,0,0
0.0186335,0,0
0.0184049,0,0
0.0182927,0,0
0.0180723,0,0
0.0179641,0,0
0.0177515,0,0
0.0176471,0,0
0.0174419,0,0
0.017341,0,0
0.0171429,0,0
0.0170455,0,0
0.0168539,0,0
0.0167598,0,0
0.0165746,0,0
0.0164835,0,0
0.0163043,0,0
0.0162162,0,0
0.0160428,0,0
0.0159574,0,0
0.0157895,0,0
0.0157068,0,0
0.015544,0,0
0.0154639,0,0
0.0153061,0,0
0.0152284,0,0
0.0150754,0,0
0.015,0,0
0.0148515,0,0
0.0147783,0,0
0.0146341,0,0
0.0145631,0,0
0.0144231,0,0
0.0143541,0,0
0.014218,0,0
0.0141509,0,0
0.0140187,0,0
0.0139535,0,0
0.0138249,0,0
0.0137615,0,0
0.0136364,0,0
0.0135747,0,0
0.0134529,0,0
0.0133929,0,0
0.0132743,0,0
0.0132159,0,0
0.0131004,0,0
0.0130435,0,0
0.012931,0,0
0.0128755,0,0
0.012766,0,0
0.0127119,0,0
0.012605,0,0
0.0125523,0,0
0.0124481,0,0
0.0123967,0,0
0.0122951,0,0
0.0122449,0,0
0.0121457,0,0
0.0120968,0,0
0.012,0,0
0.0119522,0,0
0.0118577,0,0
0.011811,0,0
4,4,4
1.33333,1,1
0.8,0,0
0.571429,0,0
0.444444,0,0
0.363636,0,0
0.307692,0,0
0.266667,0,0
0.235294,0,0
0.210526,0,0
0.190476,0,0
0.173913,0,0
0.16,0,0
0.148148,0,0
0.137931,0,0
0.129032,0,0
0.121212,0,0
0.114286,0,0
0.108108,0,0
0.102564,0,0
0.097561,0,0
0.0930233,0,0
0.0888889,0,0
0.0851064,0,0
0.0816327,0,0
0.0784314,0,0
0.0754717,0,0
0.0727273,0,0
0.0701754,0,0
0.0677966,0,0
0.0655738,0,0
0.0634921,0,0
0.0615385,0,0
0.0597015,0,0
0.057971,0,0
0.056338,0,0
0.0547945,0,0
0.0533333,0,0
0.0519481,0,0
0.0506329,0,0
0.0493827,0,0
0.0481928,0,0
0.0470588,0,0
0.045977,0,0
0.0449438,0,0
0.043956,0,0
0.0430108,0,0
0.0421053,0,0
0.0412371,0,0
0.040404,0,0
0.039604,0,0
0.038835,0,0
0.0380952,0,0
0.0373832,0,0
0.0366972,0,0
0.036036,0,0
0.0353982,0,0
0.0347826,0,0
0.034188,0,0
0.0336134,0,0
0.0330578,0,0
0.0325203,0,0
0.032,0,0
0.0314961,0,0
0.0310078,0,0
0.0305344,0,0
0.0300752,0,0
0.0296296,0,0
0.0291971,0,0
0.028777,0,0
0.0283688,0,0
0.027972,0,0
0.0275862,0,0
0.0272109,0,0
0.0268456,0,0
0.0264901,0,0
0.0261438,0,0
0.0258065,0,0
0.0254777,0,0
0.0251572,0,0
0.0248447,0,0
0.0245399,0,0
0.0242424,0,0
0.0239521,0,0
0.0236686,0,0
0.0233918,0,0
0.0231214,0,0
0.0228571,0,0
0.0225989,0,0
0.0223464,0,0
0.0220994,0,0
0.0218579,0,0
0.0216216,0,0
0.0213904,0,0
0.021164,0,0
0.0209424,0,0
0.0207254,0,0
0.0205128,0,0
0.0203046,0,0
0.0201005,0,0
0.0199005,0,0
0.0197044,0,0
0.0195122,0,0
0.0193237,0,0
0.0191388,0,0
0.0189573,0,0
0.0187793,0,0
0.0186047,0,0
0.0184332,0,0
0.0182648,0,0
0.0180995,0,0
0.0179372,0,0
0.0177778,0,0
0.0176211,0,0
0.0174672,0,0
0.017316,0,0
0.0171674,0,0
0.0170213,0,0
0.0168776,0,0
0.0167364,0,0
0.0165975,0,0
0.0164609,0,0
0.0163265,0,0
0.0161943,0,0
0.0160643,0,0
0.0159363,0,0
0.0158103,0,0
0.0156863,0,0
5,5,5
2.5,2,2
1.66667,1,1
1.25,1,1
0.833333,0,0
0.714286,0,0
0.625,0,0
0.555556,0,0
0.454545,0,0
0.416667,0,0
0.384615,0,0
0.357143,0,0
0.3125,0,0
0.294118,0,0
0.277778,0,0
0.263158,0,0
0.238095,0,0
0.227273,0,0
0.217391,0,0
0.208333,0,0
0.192308,0,0
0.185185,0,0
0.178571,0,0
0.172414,0,0
0.16129,0,0
0.15625,0,0
0.151515,0,0
0.147059,0,0
0.138889,0,0
0.135135,0,0
0.131579,0,0
0.128205,0,0
0.121951,0,0
0.119048,0,0
0.116279,0,0
0.113636,0,0
0.108696,0,0
0.106383,0,0
0.104167,0,0
0.102041,0,0
0.0980392,0,0
0.0961538,0,0
0.0943396,0,0
0.0925926,0,0
0.0892857,0,0
0.0877193,0,0
0.0862069,0,0
0.0847458,0,0
0.0819672,0,0
0.0806452,0,0
0.0793651,0,0
0.078125,0,0
0.0757576,0,0
0.0746269,0,0
0.0735294,0,0
0.0724638,0,0
0.0704225,0,0
0.0694444,0,0
0.0684932,0,0
0.0675676,0,0
0.0657895,0,0
0.0649351,0,0
0.0641026,0,0
0.0632911,0,0
0.0617284,0,0
0.0609756,0,0
0.060241,0,0
0.0595238,0,0
0.0581395,0,0
0.0574713,0,0
0.0568182,0,0
0.0561798,0,0
0.0549451,0,0
0.0543478,0,0
0.0537634,0,0
0.0531915,0,0
0.0520833,0,0
0.0515464,0,0
0.0510204,0,0
0.050505,0,0
0.049505,0,0
0.0490196,0,0
0.0485437,0,0
0.0480769,0,0
0.0471698,0,0
0.046729,0,0
0.0462963,0,0
0.0458716,0,0
0.045045,0,0
0.0446429,0,0
0.0442478,0,0
0.0438596,0,0
0.0431034,0,0
0.042735,0,0
0.0423729,0,0
0.0420168,0,0
0.0413223,0,0
0.0409836,0,0
0.0406504,0,0
0.0403226,0,0
0.0396825,0,0
0.0393701,0,0
0.0390625,0,0
0.0387597,0,0
0.0381679,0,0
0.0378788,0,0
0.037594,0,0
0.0373134,0,0
0.0367647,0,0
0.0364963,0,0
0.0362319,0,0
0.0359712,0,0
0.035461,0,0
0.0352113,0,0
0.034965,0,0
0.0347222,0,0
0.0342466,0,0
0.0340136,0,0
0.0337838,0,0
0.033557,0,0
0.0331126,0,0
0.0328947,0,0
0.0326797,0,0
0.0324675,0,0
0.0320513,0,0
0.0318471,0,0
0.0316456,0,0
0.0314465,0,0
0.0310559,0,0
0.0308642,0,0
0.0306748,0,0
0.0304878,0,0
0.0301205,0,0
0.0299401,0,0
0.0297619,0,0
0.0295858,0,0
0.0292398,0,0
0.0290698,0,0
0.0289017,0,0
0.0287356,0,0
0.0284091,0,0
0.0282486,0,0
0.0280899,0,0
0.027933,0,0
0.0276243,0,0
0.0274725,0,0
0.0273224,0,0
0.0271739,0,0
0.0268817,0,0
0.026738,0,0
0.0265957,0,0
0.026455,0,0
0.026178,0,0
0.0260417,0,0
0.0259067,0,0
0.0257732,0,0
0.0255102,0,0
0.0253807,0,0
0.0252525,0,0
0.0251256,0,0
0.0248756,0,0
0.0247525,0,0
0.0246305,0,0
0.0245098,0,0
0.0242718,0,0
0.0241546,0,0
0.0240385,0,0
0.0239234,0,0
0.0236967,0,0
0.0235849,0,0
0.0234742,0,0
0.0233645,0,0
0.0231481,0,0
0.0230415,0,0
0.0229358,0,0
0.0228311,0,0
0.0226244,0,0
0.0225225,0,0
0.0224215,0,0
0.0223214,0,0
0.0221239,0,0
0.0220264,0,0
0.0219298,0,0
0.0218341,0,0
0.021645,0,0
0.0215517,0,0
0.0214592,0,0
0.0213675,0,0
0.0211864,0,0
0.021097,0,0
0.0210084,0,0
0.0209205,0,0
0.0207469,0,0
0.0206612,0,0
0.0205761,0,0
0.0204918,0,0
0.0203252,0,0
0.0202429,0,0
0.0201613,0,0
0.0200803,0,0
0.0199203,0,0
0.0198413,0,0
0.0197628,0,0
0.019685,0,0
6,6,6
1.2,1,1
0.857143,0,0
0.545455,0,0
0.461538,0,0
0.352941,0,0
0.315789,0,0
0.26087,0,0
0.24,0,0
0.206897,0,0
0.193548,0,0
0.171429,0,0
0.162162,0,0
0.146341,0,0
0.139535,0,0
0.12766,0,0
0.122449,0,0
0.113208,0,0
0.109091,0,0
0.101695,0,0
0.0983607,0,0
0.0923077,0,0
0.0895522,0,0
0.084507,0,0
0.0821918,0,0
0.0779221,0,0
0.0759494,0,0
0.0722892,0,0
0.0705882,0,0
0.0674157,0,0
0.0659341,0,0
0.0631579,0,0
0.0618557,0,0
0.0594059,0,0
0.0582524,0,0
0.0560748,0,0
0.0550459,0,0
0.0530973,0,0
0.0521739,0,0
0.0504202,0,0
0.0495868,0,0
0.048,0,0
0.0472441,0,0
0.0458015,0,0
0.0451128,0,0
0.0437956,0,0
0.0431655,0,0
0.041958,0,0
0.0413793,0,0
0.0402685,0,0
0.0397351,0,0
0.0387097,0,0
0.0382166,0,0
0.0372671,0,0
0.0368098,0,0
0.0359281,0,0
0.035503,0,0
0.0346821,0,0
0.0342857,0,0
0.0335196,0,0
0.0331492,0,0
0.0324324,0,0
0.0320856,0,0
0.0314136,0,0
0.0310881,0,0
0.0304569,0,0
0.0301508,0,0
0.0295567,0,0
0.0292683,0,0
0.0287081,0,0
0.028436,0,0
0.027907,0,0
0.0276498,0,0
0.0271493,0,0
0.0269058,0,0
0.0264317,0,0
0.0262009,0,0
0.0257511,0,0
0.0255319,0,0
0.0251046,0,0
0.0248963,0,0
0.0244898,0,0
0.0242915,0,0
0.0239044,0,0
0.0237154,0,0
7,7,7
3.5,3,3
2.33333,2,2
1.75,1,1
1.4,1,1
1.16667,1,1
0.875,0,0
0.777778,0,0
0.7,0,0
0.636364,0,0
0.583333,0,0
0.538462,0,0
0.466667,0,0
0.4375,0,0
0.411765,0,0
0.388889,0,0
0.368421,0,0
0.35,0,0
0.318182,0,0
0.304348,0,0
0.291667,0,0
0.28,0,0
0.269231,0,0
0.259259,0,0
0.241379,0,0
0.233333,0,0
0.225806,0,0
0.21875,0,0
0.212121,0,0
0.205882,0,0
0.194444,0,0
0.189189,0,0
0.184211,0,0
0.179487,0,0
0.175,0,0
0.170732,0,0
0.162791,0,0
0.159091,0,0
0.155556,0,0
0.152174,0,0
0.148936,0,0
0.145833,0,0
0.14,0,0
0.137255,0,0
0.134615,0,0
0.132075,0,0
0.12963,0,0
0.127273,0,0
0.122807,0,0
0.12069,0,0
0.118644,0,0
0.116667,0,0
0.114754,0,0
0.112903,0,0
0.109375,0,0
0.107692,0,0
0.106061,0,0
0.104478,0,0
0.102941,0,0
0.101449,0,0
0.0985916,0,0
0.0972222,0,0
0.0958904,0,0
0.0945946,0,0
0.0933333,0,0
0.0921053,0,0
0.0897436,0,0
0.0886076,0,0
0.0875,0,0
0.0864198,0,0
0.0853659,0,0
0.0843373,0,0
0.0823529,0,0
0.0813954,0,0
0.0804598,0,0
0.0795455,0,0
0.0786517,0,0
0.0777778,0,0
0.076087,0,0
0.0752688,0,0
0.0744681,0,0
0.0736842,0,0
0.0729167,0,0
0.0721649,0,0
0.0707071,0,0
0.07,0,0
0.0693069,0,0
0.0686275,0,0
0.0679612,0,0
0.0673077,0,0
0.0660377,0,0
0.0654206,0,0
0.0648148,0,0
0.0642202,0,0
0.0636364,0,0
0.0630631,0,0
0.0619469,0,0
0.0614035,0,0
0.0608696,0,0
0.0603448,0,0
0.0598291,0,0
0.059322,0,0
0.0583333,0,0
0.0578512,0,0
0.057377,0,0
0.0569106,0,0
0.0564516,0,0
0.056,0,0
0.0551181,0,0
0.0546875,0,0
0.0542636,0,0
0.0538462,0,0
0.0534351,0,0
0.0530303,0,0
0.0522388,0,0
0.0518519,0,0
0.0514706,0,0
0.0510949,0,0
0.0507246,0,0
0.0503597,0,0
0.0496454,0,0
0.0492958,0,0
0.048951,0,0
0.0486111,0,0
0.0482759,0,0
0.0479452,0,0
0.0472973,0,0
0.0469799,0,0
0.0466667,0,0
0.0463576,0,0
0.0460526,0,0
0.0457516,0,0
0.0451613,0,0
0.0448718,0,0
0.044586,0,0
0.0443038,0,0
0.0440252,0,0
0.04375,0,0
0.0432099,0,0
0.0429448,0,0
0.0426829,0,0
0.0424242,0,0
0.0421687,0,0
0.0419162,0,0
0.0414201,0,0
0.0411765,0,0
0.0409357,0,0
0.0406977,0,0
0.0404624,0,0
0.0402299,0,0
0.0397727,0,0
0.039548,0,0
0.0393258,0,0
0.0391061,0,0
0.0388889,0,0
0.038674,0,0
0.0382514,0,0
0.0380435,0,0
0.0378378,0,0
0.0376344,0,0
0.0374332,0,0
0.037234,0,0
0.0368421,0,0
0.0366492,0,0
0.0364583,0,0
0.0362694,0,0
0.0360825,0,0
0.0358974,0,0
0.035533,0,0
0.0353535,0,0
0.0351759,0,0
0.035,0,0
0.0348259,0,0
0.0346535,0,0
0.0343137,0,0
0.0341463,0,0
0.0339806,0,0
0.0338164,0,0
0.0336538,0,0
0.0334928,0,0
0.0331754,0,0
0.0330189,0,0
0.0328638,0,0
0.0327103,0,0
0.0325581,0,0
0.0324074,0,0
0.0321101,0,0
0.0319635,0,0
0.0318182,0,0
0.0316742,0,0
0.0315315,0,0
0.0313901,0,0
0.0311111,0,0
0.0309735,0,0
0.030837,0,0
0.0307018,0,0
0.0305677,0,0
0.0304348,0,0
0.0301724,0,0
0.0300429,0,0
0.0299145,0,0
0.0297872,0,0
0.029661,0,0
0.0295359,0,0
0.0292887,0,0
0.0291667,0,0
0.0290456,0,0
0.0289256,0,0
0.0288066,0,0
0.0286885,0,0
0.0284553,0,0
0.0283401,0,0
0.0282258,0,0
0.0281125,0,0
0.028,0,0
0.0278884,0,0
0.027668,0,0
0.0275591,0,0
0.027451,0,0
8,8,8
2.66667,2,2
1.6,1,1
1.14286,1,1
0.888889,0,0
0.727273,0,0
0.615385,0,0
0.533333,0,0
0.470588,0,0
0.421053,0,0
0.380952,0,0
0.347826,0,0
0.32,0,0
0.296296,0,0
0.275862,0,0
0.258065,0,0
0.242424,0,0
0.228571,0,0
0.216216,0,0
0.205128,0,0
0.195122,0,0
0.186047,0,0
0.177778,0,0
0.170213,0,0
0.163265,0,0
0.156863,0,0
0.150943,0,0
0.145455,0,0
0.140351,0,0
0.135593,0,0
0.131148,0,0
0.126984,0,0
0.123077,0,0
0.119403,0,0
0.115942,0,0
0.112676,0,0
0.109589,0,0
0.106667,0,0
0.103896,0,0
0.101266,0,0
0.0987654,0,0
0.0963855,0,0
0.0941176,0,0
0.091954,0,0
0.0898876,0,0
0.0879121,0,0
0.0860215,0,0
0.0842105,0,0
0.0824742,0,0
0.0808081,0,0
0.0792079,0,0
0.0776699,0,0
0.0761905,0,0
0.0747664,0,0
0.0733945,0,0
0.0720721,0,0
0.0707965,0,0
0.0695652,0,0
0.0683761,0,0
0.0672269,0,0
0.0661157,0,0
0.0650406,0,0
0.064,0,0
0.0629921,0,0
0.0620155,0,0
0.0610687,0,0
0.0601504,0,0
0.0592593,0,0
0.0583942,0,0
0.057554,0,0
0.0567376,0,0
0.0559441,0,0
0.0551724,0,0
0.0544218,0,0
0.0536913,0,0
0.0529801,0,0
0.0522876,0,0
0.0516129,0,0
0.0509554,0,0
0.0503145,0,0
0.0496894,0,0
0.0490798,0,0
0.0484848,0,0
0.0479042,0,0
0.0473373,0,0
0.0467836,0,0
0.0462428,0,0
0.0457143,0,0
0.0451977,0,0
0.0446927,0,0
0.0441989,0,0
0.0437158,0,0
0.0432432,0,0
0.0427807,0,0
0.042328,0,0
0.0418848,0,0
0.0414508,0,0
0.0410256,0,0
0.0406091,0,0
0.040201,0,0
0.039801,0,0
0.0394089,0,0
0.0390244,0,0
0.0386473,0,0
0.0382775,0,0
0.0379147,0,0
0.0375587,0,0
0.0372093,0,0
0.0368664,0,0
0.0365297,0,0
0.0361991,0,0
0.0358744,0,0
0.0355556,0,0
0.0352423,0,0
0.0349345,0,0
0.034632,0,0
0.0343348,0,0
0.0340426,0,0
0.0337553,0,0
0.0334728,0,0
0.033195,0,0
0.0329218,0,0
0.0326531,0,0
0.0323887,0,0
0.0321285,0,0
0.0318725,0,0
0.0316206,0,0
0.0313726,0,0
9,9,9
4.5,4,4
2.25,2,2
1.8,1,1
1.28571,1,1
1.125,1,1
0.9,0,0
0.818182,0,0
0.692308,0,0
0.642857,0,0
0.5625,0,0
0.529412,0,0
0.473684,0,0
0.45,0,0
0.409091,0,0
0.391304,0,0
0.36,0,0
0.346154,0,0
0.321429,0,0
0.310345,0,0
0.290323,0,0
0.28125,0,0
0.264706,0,0
0.257143,0,0
0.243243,0,0
0.236842,0,0
0.225,0,0
0.219512,0,0
0.209302,0,0
0.204545,0,0
0.195652,0,0
0.191489,0,0
0.183673,0,0
0.18,0,0
0.173077,0,0
0.169811,0,0
0.163636,0,0
0.160714,0,0
0.155172,0,0
0.152542,0,0
0.147541,0,0
0.145161,0,0
0.140625,0,0
0.138462,0,0
0.134328,0,0
0.132353,0,0
0.128571,0,0
0.126761,0,0
0.123288,0,0
0.121622,0,0
0.118421,0,0
0.116883,0,0
0.113924,0,0
0.1125,0,0
0.109756,0,0
0.108434,0,0
0.105882,0,0
0.104651,0,0
0.102273,0,0
0.101124,0,0
0.0989011,0,0
0.0978261,0,0
0.0957447,0,0
0.0947368,0,0
0.0927835,0,0
0.0918367,0,0
0.09,0,0
0.0891089,0,0
0.0873786,0,0
0.0865385,0,0
0.0849057,0,0
0.0841122,0,0
0.0825688,0,0
0.0818182,0,0
0.0803571,0,0
0.079646,0,0
0.0782609,0,0
0.0775862,0,0
0.0762712,0,0
0.0756303,0,0
0.0743802,0,0
0.0737705,0,0
0.0725806,0,0
0.072,0,0
0.0708661,0,0
0.0703125,0,0
0.0692308,0,0
0.0687023,0,0
0.0676692,0,0
0.0671642,0,0
0.0661765,0,0
0.0656934,0,0
0.0647482,0,0
0.0642857,0,0
0.0633803,0,0
0.0629371,0,0
0.062069,0,0
0.0616438,0,0
0.0608108,0,0
0.0604027,0,0
0.0596026,0,0
0.0592105,0,0
0.0584416,0,0
0.0580645,0,0
0.0573248,0,0
0.056962,0,0
0.05625,0,0
0.0559006,0,0
0.0552147,0,0
0.054878,0,0
0.0542169,0,0
0.0538922,0,0
0.0532544,0,0
0.0529412,0,0
0.0523256,0,0
0.0520231,0,0
0.0514286,0,0
0.0511364,0,0
0.0505618,0,0
0.0502793,0,0
0.0497238,0,0
0.0494506,0,0
0.048913,0,0
0.0486486,0,0
0.0481283,0,0
0.0478723,0,0
0.0473684,0,0
0.0471204,0,0
0.0466321,0,0
